subject_id,label_name,label_code,channel,n_epochs,mean_uv,std_uv,median_p2p_uv,mean_p2p_uv,max_p2p_uv,mean_rms_uv,max_abs_uv,flat_epochs_p2p_lt_1,high_epochs_p2p_gt_200,high_epochs_p2p_gt_300,high_epochs_p2p_gt_500,high_epochs_p2p_gt_1000,pct_high_epochs_p2p_gt_300
27,low,0,6,299,0.005070584360510111,7.8625946044921875,39.21208953857422,41.96398162841797,124.47355651855469,7.455709934234619,76.193115234375,0,0,0,0,0,0.0
27,low,0,7,299,-0.003053647233173251,8.26952075958252,41.85862731933594,44.556068420410156,120.9984130859375,7.8819780349731445,78.90283966064453,0,0,0,0,0,0.0
27,low,0,8,299,0.0046503497287631035,9.570180892944336,51.05693817138672,53.07316970825195,157.36032104492188,9.144341468811035,101.11666107177734,0,0,0,0,0,0.0
27,low,0,9,299,0.005545096937566996,9.266014099121094,48.09783172607422,50.674861907958984,169.55213928222656,8.814732551574707,100.63406372070312,0,0,0,0,0,0.0
27,low,0,10,299,-0.0023101959377527237,13.99078369140625,58.503997802734375,64.50740051269531,297.87841796875,11.790003776550293,168.022705078125,0,5,0,0,0,0.0
27,low,0,11,299,0.0086302375420928,13.227072715759277,50.48175048828125,55.22312545776367,352.6120300292969,10.418869972229004,190.18569946289062,0,2,1,0,0,0.33444816053511706
27,low,0,12,299,0.00833412166684866,11.048079490661621,57.242984771728516,59.901676177978516,188.58489990234375,10.591768264770508,104.54934692382812,0,0,0,0,0,0.0
27,low,0,13,299,-0.0003218277997802943,8.463836669921875,46.31745147705078,47.66862106323242,118.13739013671875,8.268135070800781,82.57894134521484,0,0,0,0,0,0.0
27,low,0,14,299,0.009357202798128128,9.346041679382324,50.44712829589844,52.18234634399414,137.08982849121094,9.068791389465332,84.86529541015625,0,0,0,0,0,0.0
27,low,0,15,299,-0.0020674499683082104,9.036669731140137,47.936431884765625,50.850433349609375,120.618896484375,8.749571800231934,84.90100860595703,0,0,0,0,0,0.0
27,low,0,16,299,0.007640409749001265,7.808820724487305,38.662574768066406,40.40958786010742,103.85235595703125,7.561652660369873,55.56989669799805,0,0,0,0,0,0.0
27,low,0,17,299,-0.0019332788651809096,7.398775100708008,35.78196716308594,37.54401397705078,86.26118469238281,7.175020217895508,43.74582290649414,0,0,0,0,0,0.0
